name,school,sex,prorank,url,picUrl
彭翃杰,基础与前沿研究院,男,教授,http://faculty.uestc.edu.cn/penghongjie/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/7/09/1C/FFB3F9C41D6194F9045324B1A9A_8BA0543A_3261B.png
张永起,基础与前沿研究院,男,研究员,http://faculty.uestc.edu.cn/zhangyongqi/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/C/68/05/9DDB4E68DF1D4F2D028CF6CBB7C_55DD6E94_1EF83.png
巫江,基础与前沿研究院,男,教授,http://faculty.uestc.edu.cn/wujiang1/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/4/FB/1D/DD93B3BE6C75E652F77FC1090AF_42F82EA0_160DC.png
崔春华,基础与前沿研究院,男,教授,http://faculty.uestc.edu.cn/cuilab/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/A/9C/94/C11A579184884443E9DCF621C57_045E3C08_26D85.png
崔家喜,基础与前沿研究院,男,教授,http://faculty.uestc.edu.cn/cuijiaxi/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/E/A1/98/9D12077903613313DF964A7CA7B_48A8DD26_6973A.png
岳秦,基础与前沿研究院,女,教授,http://faculty.uestc.edu.cn/yueqin1/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/1/D4/0D/12C0A6EC6EFABAC6E7B7BF55F0B_D8B9F48B_1DF49.png
孙旭平,基础与前沿研究院,男,教授,http://faculty.uestc.edu.cn/sunxuping/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/A/EF/DC/2DCB3A0654FDC9153C2AEEC7A71_001F8E82_7436.png
夏娟,基础与前沿研究院,女,研究员,http://faculty.uestc.edu.cn/xia/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/8/34/56/693F91DB1F503151B6DC0865864_0448F45C_1B2CC.png
周强,基础与前沿研究院,男,教授,http://faculty.uestc.edu.cn/InQuLabs/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/F/3D/B0/D98C22514F3F969C9308B745B63_DF1AB044_2A11D.png
周冠宇,基础与前沿研究院,男,教授,http://faculty.uestc.edu.cn/zhouguanyu/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/E/7F/4D/15CD91F0FF8DCC580017CA7D64D_55C6940F_1A0B5.png
刘鸿飞,基础与前沿研究院,男,研究员,http://faculty.uestc.edu.cn/liuhongfei/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/4/96/05/9CCA7CEBBA7FA1494C2229841C8_99F197B1_2F7CC.png
THUMU UDAYABHASKARARAO,基础与前沿研究院,男,教授,http://faculty.uestc.edu.cn/UDAYABHASKARARAOTHUMU/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/4/E0/C0/6CC53586FDF1B2C445A41869BBD_7CF53C4D_2097C.png
邓陈亮,体育部,男,副教授,http://faculty.uestc.edu.cn/dengchenliang/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/B/F0/49/FCB87314CDBD169F6FA18E1D2D4_8F76CC73_17B6.jpg
周鹏,体育部,男,讲师,http://faculty.uestc.edu.cn/zhoupeng/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/E/CD/95/3101358D04794A176BD59E2B7C3_38A1AF2D_A3F19.jpg
朱策,格拉斯哥学院,男,教授,http://faculty.uestc.edu.cn/zhuce/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/7/CB/D0/2A1833F64A1CCA536F334B173D1_3C685A43_9665B.png
徐世中,格拉斯哥学院,男,教授,http://faculty.uestc.edu.cn/xushizhong/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/F/20/18/43CE03F34A33F049E119A3413E2_8B397A78_390A.jpg
郭芙蕊,马克思主义学院,女,副教授,http://faculty.uestc.edu.cn/guofurui/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/6/0A/19/ED2E9E7A518E6A80251E4E0816D_76BE0618_2380B.png
王丽鸽,马克思主义学院,女,讲师,http://faculty.uestc.edu.cn/wanglige/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/2/63/8B/88DA9FF155B2FF4DDD53FC76720_406812F4_2A507.png
曹银忠,马克思主义学院,男,教授,http://faculty.uestc.edu.cn/caoyinzhong/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/A/4D/0F/E796A531A8374711674ACBC92FB_E581C02E_11C76A.jpg
张若云,马克思主义学院,女,讲师,http://faculty.uestc.edu.cn/zhangruoyun/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/9/C1/5A/560938688A63BC66CFAED2F4BF5_54E06ACA_13653.png
高照,外国语学院,女,副教授,http://faculty.uestc.edu.cn/gaozhao/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/E/EA/C0/E2B6FD1643D1EF158A343870121_2C7737A5_19197.jpg
高山,外国语学院,女,教授,http://faculty.uestc.edu.cn/gaoshan/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/E/D5/B6/8608DAC2F41BEE88E917899DC40_E016FC3A_C54FD.jpg
陈大建,外国语学院,男,讲师,http://faculty.uestc.edu.cn/chendajian/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/F/94/60/57D0B7AF588D20B8DE1C77EA57C_70EDA817_15642.png
邹涛,外国语学院,女,教授,http://faculty.uestc.edu.cn/zoutao/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/A/22/98/A54890D9FFE86E3D070F129B8A9_A9D60595_28C54E.png
熊杰,外国语学院,女,副教授,http://faculty.uestc.edu.cn/xiongjie2/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/7/6F/39/C665AC10F7EB123743D226B9C94_32B5083F_CAC6.png
杨镇源,外国语学院,男,教授,http://faculty.uestc.edu.cn/yangzhenyuan/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/F/5B/F3/32D0C6A888363F43FF80C77779B_7EDC7731_E765.jpg
李亚飞,外国语学院,男,副教授,http://faculty.uestc.edu.cn/liyafei/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/9/56/E5/B66FD4B8CB4FE34A4511C205C4A_E1762907_14246.png
徐林林,外国语学院,女,副教授,http://faculty.uestc.edu.cn/xulinlin/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/7/47/29/AD06B5CE32A51FD58D027208D64_AA51E7D4_223BD.png
冯文坤,外国语学院,男,教授,http://faculty.uestc.edu.cn/fengwenkun/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/2/D0/AA/8554147EF675956E4DC0A61A8A4_A8CDB270_D398.png
何家勇,外国语学院,男,副教授,http://faculty.uestc.edu.cn/hejiayong/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/2/B2/98/FA0CCE39500FB3332B103A1693D_37D1B93A_3ECFB.jpg
TIEFU ZHANG,外国语学院,男,副教授,http://faculty.uestc.edu.cn/zhangtiefu/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/A/19/6D/A25A60CE22E2AFCE1BFFD5DC72E_D9F33A4E_27F31.png
韩洪,公共管理学院,男,教授,http://faculty.uestc.edu.cn/hanhong1/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/8/9F/78/7CF9DC43F2752253683A7121A20_872A4543_D05D.png
祝小宁,公共管理学院,男,教授,http://faculty.uestc.edu.cn/zhuxiaoning/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/4/18/F3/638BEF0098626862EC1B85870A0_734E05B4_DC9B.png
王理,公共管理学院,女,副教授,http://faculty.uestc.edu.cn/wl/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/A/C2/F7/5462576649960F28535FCDFE53A_4BAA7383_3F4A1.jpg
